Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,18.233334,18.315001,17.795000,18.026667,3922800,0.000000,0.000000,18.233334,18.315001,17.795000,18.026667,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,70715009.307600,
2015-01-05,18.028334,18.299999,18.023333,18.238333,6514800,0.000000,0.000000,18.028334,18.299999,18.023333,18.238333,,,,,,,,,,50.000000,,,,,,,0.011742,,,,,,,0.000000,,,,118819091.828400,
2015-01-06,18.241667,18.998333,18.211666,18.713333,11548800,0.000000,0.000000,18.241667,18.998333,18.211666,18.713333,,,,,,,,,,50.000000,,,,,,,0.026044,,,,,,,0.000000,,,,216116540.150400,
2015-01-07,18.738333,19.333332,18.738333,19.326668,9118800,0.000000,0.000000,18.738333,19.333332,18.738333,19.326668,,,,,,,,,,50.000000,,,,,,,0.032775,,,,,,,0.000000,,,,176236020.158400,
2015-01-08,19.558332,19.783333,19.413334,19.618334,9048000,0.000000,0.000000,19.558332,19.783333,19.413334,19.618334,,,,,,,,,,50.000000,,,,,,,0.015091,,,,,,,0.000000,,,,177506686.032000,
2015-01-09,19.693333,19.708332,19.379999,19.506666,6218400,0.000000,0.000000,19.693333,19.708332,19.379999,19.506666,,,,,,,,,,50.000000,,,,,,,-0.005692,0.082101,,,,,,-0.005692,,,,121300251.854400,
2015-01-12,19.456667,19.594999,18.653334,18.660000,15354000,0.000000,0.000000,19.456667,19.594999,18.653334,18.660000,,,,,,,,,,50.000000,,,,,,,-0.043404,0.023120,,,,,,-0.048849,,,,286505640.000000,
2015-01-13,18.753332,19.375000,18.673332,18.851667,10528800,0.000000,0.000000,18.753332,19.375000,18.673332,18.851667,,,,,,,,,,50.000000,,,,,,,0.010272,0.007392,,,,,,-0.039079,,,,198485431.509600,
2015-01-14,18.931667,19.676666,18.916668,19.623333,9355200,0.000000,0.000000,18.931667,19.676666,18.916668,19.623333,,,,,,,,,,50.000000,,,,,,,0.040934,0.015350,,,,,,0.000000,,,,183580204.881600,
2015-01-15,19.764999,19.796667,19.276667,19.376667,6389400,0.000000,0.000000,19.764999,19.796667,19.276667,19.376667,,,,,,,,,,50.000000,,,,,,,-0.012570,-0.012318,,,,,,-0.012570,,,,123805276.129800,
2015-01-16,19.315001,19.828333,19.315001,19.815001,5693400,0.000000,0.000000,19.315001,19.828333,19.315001,19.815001,,,,,,,,,,50.000000,,,,,,,0.022622,0.015807,,,,,,0.000000,,,,112814726.693400,
2015-01-20,19.828333,19.861668,19.491667,19.573334,6142800,0.000000,0.000000,19.828333,19.861668,19.491667,19.573334,,,,,19.318004,,,,,50.000000,,,,,,,-0.012196,0.048946,,,,,,-0.012196,,,,120235076.095200,
2015-01-21,19.596666,19.834999,19.375000,19.756666,4536600,0.000000,0.000000,19.596666,19.834999,19.375000,19.756666,,,,,19.394172,,,,,50.000000,,,,,,,0.009366,0.048006,,,,,,-0.002944,,,,89628090.975600,
2015-01-22,19.828333,20.025000,19.475000,19.998333,5451000,0.000000,0.000000,19.828333,20.025000,19.475000,19.998333,,,,,19.497042,,,,,50.000000,,,,,0.559096,0.027957,0.012232,0.019110,,,,,,0.000000,,,,109010913.183000,
2015-01-23,20.036667,20.143333,19.838333,19.885000,5211000,0.000000,0.000000,20.036667,20.143333,19.838333,19.885000,,,,,19.562031,,,,,66.652426,,,,,0.532046,0.026756,-0.005667,0.026234,,,,,,-0.005667,,,,103620735.000000,
2015-01-26,19.934999,20.001667,19.671667,19.991667,4935600,0.000000,0.000000,19.934999,20.001667,19.671667,19.991667,,,,,19.633032,,,,,67.879888,,,,,0.511266,0.025574,0.005364,0.008916,,,,,,-0.000333,,,,98670871.645200,
2015-01-27,19.833332,19.950001,19.615000,19.801666,5079000,0.000000,0.000000,19.833332,19.950001,19.615000,19.801666,,,,,19.660586,,,,,63.403119,,,,,0.497843,0.025141,-0.009504,0.011665,,,,,,-0.009834,,,,100572661.614000,
2015-01-28,19.900000,20.378332,19.838333,19.868334,7147200,0.000000,0.000000,19.900000,20.378332,19.838333,19.868334,,,,,19.694209,,,,,64.292982,,,,,0.505487,0.025442,0.003367,0.005652,,,,,,-0.006500,,,,142002956.764800,
2015-01-29,19.951668,20.139999,19.821667,20.128332,4636800,0.000000,0.000000,19.951668,20.139999,19.821667,20.128332,,,,,19.763913,,,,,67.601555,,,,,0.487790,0.024234,0.013086,0.006500,,,,,,0.000000,,,,93331049.817600,
2015-01-30,19.921667,19.976667,19.430000,19.491667,6132000,0.000000,0.000000,19.921667,19.976667,19.430000,19.491667,19.412583,,,,19.720492,,,,,54.326790,19.412583,20.614275,18.210892,0.532905,0.507249,0.026024,-0.031630,-0.019780,,,,,,-0.031630,,,7148220.000000,119522902.044000,
2015-02-02,19.465000,19.603333,19.116667,19.591667,5386800,0.000000,0.000000,19.465000,19.603333,19.116667,19.591667,19.490833,,,,19.700061,,,,,55.795089,19.490833,20.501111,18.480556,0.549904,0.505385,0.025796,0.005130,-0.020008,,,,,,-0.026662,,,7221420.000000,105536391.795600,
2015-02-03,19.400000,19.725000,19.270000,19.445000,6208200,0.000000,0.000000,19.400000,19.725000,19.270000,19.445000,19.551167,,,,19.659801,,,,,53.098869,19.551167,20.373062,18.729271,0.435413,0.500910,0.025760,-0.007486,-0.018012,0.078680,,,,0.317176,-0.033949,,,7206090.000000,120718449.000000,
2015-02-04,19.391666,19.923332,19.351667,19.788334,5444400,0.000000,0.000000,19.391666,19.923332,19.351667,19.788334,19.604917,,,,19.680008,,,,,58.192030,19.604917,20.331145,18.878689,0.626281,0.507087,0.025626,0.017657,-0.004027,0.084986,,,,0.319693,-0.016892,,,6900870.000000,107735605.629600,
2015-02-05,19.825001,19.998333,19.620001,19.728333,3992400,0.000000,0.000000,19.825001,19.998333,19.620001,19.728333,19.625000,,,,19.687580,,,,,57.026543,19.625000,20.340972,18.909028,0.572163,0.496022,0.025143,-0.003032,-0.019872,0.054239,,,,0.310256,-0.019872,,,6644550.000000,78763396.669200,
2015-02-06,19.713333,19.773333,19.400000,19.525000,3076800,0.000000,0.000000,19.713333,19.773333,19.400000,19.525000,19.620333,,,,19.662178,,,,,53.142200,19.620333,20.337704,18.902963,0.433554,0.485629,0.024872,-0.010307,0.001710,0.010262,,,,0.293054,-0.029974,,,6345990.000000,60074520.000000,
2015-02-09,19.426666,19.521667,19.209999,19.323334,3982800,0.000000,0.000000,19.426666,19.521667,19.209999,19.323334,19.611167,,,,19.609362,19.577020,0.032341,,,49.538158,19.611167,20.339258,18.883076,0.302337,0.471364,0.024393,-0.010329,-0.013696,-0.015037,,,,0.290488,-0.039993,,,6234210.000000,76960974.655200,
2015-02-10,19.351667,19.806667,19.343332,19.748333,3066000,0.000000,0.000000,19.351667,19.806667,19.343332,19.748333,19.665583,,,,19.630980,19.591526,0.039454,,,56.269138,19.665583,20.241033,19.090134,0.571900,0.472352,0.023919,0.021994,0.015600,0.012389,,,,0.300003,-0.018879,,,5619810.000000,60548388.978000,
2015-02-11,19.750000,19.901667,19.684999,19.831667,3967800,0.000000,0.000000,19.750000,19.901667,19.684999,19.831667,19.714583,,,,19.662145,19.611647,0.050498,,,57.467143,19.714583,20.147452,19.281715,0.635242,0.451467,0.022765,0.004220,0.002190,0.062790,,,,0.253416,-0.014739,,,5291760.000000,78688088.322600,
2015-02-12,19.813334,19.956667,19.670000,19.918333,3546600,0.000000,0.000000,19.813334,19.956667,19.670000,19.918333,19.729333,,,,19.701871,19.637095,0.064775,,,58.733284,19.729333,20.169158,19.289509,0.714858,0.438142,0.021997,0.004370,0.009631,0.056582,,,,0.252111,-0.010433,,,5001330.000000,70642359.817800,
2015-02-13,19.934999,19.934999,19.391666,19.623333,4822200,0.000000,0.000000,19.934999,19.934999,19.391666,19.623333,19.741667,,,,19.689707,19.635964,0.053744,,,52.954720,19.741667,20.152747,19.330587,0.356070,0.446568,0.022757,-0.014810,0.005036,0.000000,,,,0.217260,-0.025089,,,4922970.000000,94627636.392600,
2015-02-17,19.506666,19.858334,19.424999,19.785000,3090000,0.000000,0.000000,19.506666,19.858334,19.424999,19.785000,19.740167,,,,19.704451,19.648122,0.056329,,,55.536523,19.740167,20.150338,19.329995,0.554652,0.445517,0.022518,0.008239,0.023892,0.021073,,,,0.213915,-0.017057,,,4792800.000000,61135650.000000,
2015-02-18,19.764999,20.101667,19.668333,20.046667,3396600,0.000000,0.000000,19.764999,20.101667,19.668333,20.046667,19.763833,,,,19.757352,19.680393,0.076958,,,59.418454,19.763833,20.187861,19.339805,0.833508,0.444557,0.022176,0.013226,0.015107,0.011691,,,,0.204250,-0.004057,,,4655490.000000,68090509.132200,
2015-02-19,20.036667,20.320000,19.975000,20.188334,3517200,0.000000,0.000000,20.036667,20.320000,19.975000,20.188334,19.785417,,,,19.823925,19.721241,0.102684,,,61.384142,19.785417,20.249921,19.320912,0.933706,0.436771,0.021635,0.007067,0.017985,0.031420,,,,0.199859,0.000000,,,4604520.000000,71006408.344800,
2015-02-20,20.203333,20.238333,19.903334,20.209999,3333600,0.000000,0.000000,20.203333,20.238333,19.903334,20.209999,19.796000,,,,19.883525,19.760298,0.123226,0.081693,0.041533,61.689758,19.796000,20.289661,19.302339,0.919315,0.428865,0.021220,0.001073,0.014643,0.022946,,,,0.197826,0.000000,,,4498650.000000,67372052.666400,
2015-02-23,20.268333,20.395000,20.118334,20.353333,4612800,0.000000,0.000000,20.268333,20.395000,20.118334,20.353333,19.819417,,,,19.956012,19.807413,0.148599,0.096684,0.051915,63.734679,19.819417,20.371792,19.267042,0.983292,0.417116,0.020494,0.007092,0.037201,0.017751,,,,0.194981,0.000000,,,4468740.000000,93885854.462400,
2015-02-24,20.549999,20.934999,20.533333,20.801666,6629400,0.000000,0.000000,20.549999,20.934999,20.533333,20.801666,19.859917,,,,20.086432,19.885982,0.200450,0.119387,0.081062,69.261556,19.859917,20.563539,19.156294,1.169215,0.429746,0.020659,0.022027,0.051386,0.046098,,,,0.206473,0.000000,,,4553430.000000,137902564.580400,
2015-02-25,20.878332,21.000000,20.410000,20.631666,5451600,0.000000,0.000000,20.878332,21.000000,20.410000,20.631666,19.901417,,,,20.170488,19.944618,0.225870,0.142255,0.083614,65.203728,19.901417,20.684045,19.118788,0.966537,0.441981,0.021422,-0.008172,0.029182,0.032013,,,,0.209190,-0.008172,,,4572060.000000,112475590.365600,
2015-02-26,20.676666,20.834999,20.383333,20.790001,12888600,0.000000,0.000000,20.676666,20.834999,20.383333,20.790001,19.947500,,,,20.265965,20.010792,0.255173,0.166153,0.089020,67.135018,19.947500,20.824747,19.070253,0.980196,0.442717,0.021295,0.007674,0.029803,0.049912,,,,0.206159,-0.000561,,,4859130.000000,267954006.888600,
2015-02-27,23.190001,23.983334,22.953333,23.520000,37314600,0.000000,0.000000,23.190001,23.983334,22.953333,23.520000,20.117083,,,,20.767328,20.284332,0.482996,0.232436,0.250560,83.815039,20.117083,21.941497,18.292669,1.432605,0.650749,0.027668,0.131313,0.163780,0.183793,,,,0.491989,0.000000,,,6493020.000000,877639392.000000,
2015-03-02,23.696667,23.831667,23.281668,23.538334,13733400,0.000000,0.000000,23.696667,23.831667,23.281668,23.538334,20.319417,,,,21.194171,20.537000,0.657172,0.320481,0.336690,83.874231,20.319417,22.672705,17.966128,1.183919,0.643161,0.027324,0.000780,0.156485,0.169413,,,,0.492389,0.000000,,,6873090.000000,323261356.155600,
2015-03-03,23.344999,23.621668,23.333332,23.448334,10271400,0.000000,0.000000,23.344999,23.621668,23.333332,23.448334,20.512250,,,,21.541334,20.762255,0.779079,0.414857,0.364222,82.283366,20.512250,23.219828,17.804672,1.042197,0.616541,0.026294,-0.003824,0.127233,0.202993,,,,0.473306,-0.003824,,,7117320.000000,240847217.847600,
2015-03-04,23.334999,23.415001,23.125000,23.256666,7867200,0.000000,0.000000,23.334999,23.415001,23.125000,23.256666,20.702833,,,,21.805468,20.954617,0.850851,0.504065,0.346786,78.853194,20.702833,23.622405,17.783262,0.937364,0.594622,0.025568,-0.008174,0.127232,0.187069,,,,0.476989,-0.011966,,,7200270.000000,182964842.755200,
2015-03-05,23.025000,23.446667,23.001667,23.338333,4818600,0.000000,0.000000,23.025000,23.446667,23.001667,23.338333,20.880333,,,,22.041472,21.137886,0.903587,0.585435,0.318152,79.250112,20.880333,23.991195,17.769472,0.895067,0.583474,0.025001,0.003512,0.122575,0.200223,,,,0.473827,-0.008497,,,7168980.000000,112458091.393800,
2015-03-06,23.228333,23.285000,22.636667,22.770000,7333200,0.000000,0.000000,23.228333,23.285000,22.636667,22.770000,21.032417,,,,22.153626,21.263017,0.890609,0.647362,0.243247,69.476888,21.032417,24.202975,17.861859,0.774019,0.592254,0.026010,-0.024352,-0.031888,0.150678,,,,0.486472,-0.032642,,,7336020.000000,166976964.000000,
2015-03-09,22.833332,23.165001,22.783333,22.868334,4890000,0.000000,0.000000,22.833332,23.165001,22.783333,22.868334,21.199583,,,,22.263641,21.385775,0.877866,0.694001,0.183865,70.162512,21.199583,24.387999,18.011168,0.761690,0.577644,0.025260,0.004319,-0.028464,0.159162,,,,0.485203,-0.028464,,,7426680.000000,111826153.260000,
2015-03-10,22.711666,22.768333,22.528334,22.653334,4812000,0.000000,0.000000,22.711666,22.768333,22.528334,22.653334,21.366083,,,,22.323621,21.482473,0.841148,0.723704,0.117444,66.638005,21.366083,24.489075,18.243092,0.706093,0.560088,0.024724,-0.009402,-0.033904,0.160222,,,,0.484796,-0.037598,,,7468140.000000,109007843.208000,
