Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2020-09-16,71.269997,77.000000,64.029999,64.790001,14493200,0.000000,0.000000,71.269997,77.000000,64.029999,64.790001,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,939014442.493200,
2020-09-17,60.750000,68.500000,60.000000,64.459999,3069000,0.000000,0.000000,60.750000,68.500000,60.000000,64.459999,,,,,,,,,,50.000000,,,,,,,-0.005093,,,,,,,-0.005093,,,,197827736.931000,
2020-09-18,63.419998,66.400002,62.500000,64.779999,967200,0.000000,0.000000,63.419998,66.400002,62.500000,64.779999,,,,,,,,,,50.000000,,,,,,,0.004964,,,,,,,-0.000154,,,,62655215.032800,
2020-09-21,63.000000,68.250000,62.591999,67.000000,1046700,0.000000,0.000000,63.000000,68.250000,62.591999,67.000000,,,,,,,,,,50.000000,,,,,,,0.034270,,,,,,,0.000000,,,,70128900.000000,
2020-09-22,69.250000,79.385002,64.000000,77.709999,4117800,0.000000,0.000000,69.250000,79.385002,64.000000,77.709999,,,,,,,,,,50.000000,,,,,,,0.159851,,,,,,,0.000000,,,,319994233.882200,
2020-09-23,77.699997,83.500000,71.660004,75.500000,2604000,0.000000,0.000000,77.699997,83.500000,71.660004,75.500000,,,,,,,,,,50.000000,,,,,,,-0.028439,0.165303,,,,,,-0.028439,,,,196602000.000000,
2020-09-24,73.650002,81.207001,72.349998,72.459999,1249200,0.000000,0.000000,73.650002,81.207001,72.349998,72.459999,,,,,,,,,,50.000000,,,,,,,-0.040265,0.124108,,,,,,-0.067559,,,,90517030.750800,
2020-09-25,74.000000,77.174004,72.980003,75.730003,873800,0.000000,0.000000,74.000000,77.174004,72.980003,75.730003,,,,,,,,,,50.000000,,,,,,,0.045128,0.169034,,,,,,-0.025479,,,,66172876.621400,
2020-09-28,77.480003,87.110001,76.050003,86.349998,2190100,0.000000,0.000000,77.480003,87.110001,76.050003,86.349998,,,,,,,,,,50.000000,,,,,,,0.140235,0.288806,,,,,,0.000000,,,,189115130.619800,
2020-09-29,85.199997,90.800003,82.099998,85.470001,1978800,0.000000,0.000000,85.199997,90.800003,82.099998,85.470001,,,,,,,,,,50.000000,,,,,,,-0.010191,0.099858,,,,,,-0.010191,,,,169128037.978800,
2020-09-30,85.830002,88.856003,81.699997,84.650002,1447300,0.000000,0.000000,85.830002,88.856003,81.699997,84.650002,,,,,,,,,,50.000000,,,,,,,-0.009594,0.121192,,,,,,-0.019687,,,,122513947.894600,
2020-10-01,86.010002,86.489998,77.279999,79.010002,2861800,0.000000,0.000000,86.010002,86.489998,77.279999,79.010002,,,,,78.353638,,,,,50.000000,,,,,,,-0.066627,0.090395,,,,,,-0.085003,,,,226110823.723600,
2020-10-02,75.000000,78.690002,74.000000,75.750000,902600,0.000000,0.000000,75.000000,78.690002,74.000000,75.750000,,,,,77.901547,,,,,50.000000,,,,,,,-0.041261,0.000264,,,,,,-0.122756,,,,68371950.000000,
2020-10-05,78.699997,79.989998,76.099998,78.010002,393800,0.000000,0.000000,78.699997,79.989998,76.099998,78.010002,,,,,77.920014,,,,,50.000000,,,,,8.019129,0.102796,0.029835,-0.096584,,,,,,-0.096584,,,,30720338.787600,
2020-10-06,78.639999,78.989998,74.107002,74.620003,503200,0.000000,0.000000,78.639999,78.989998,74.107002,74.620003,,,,,77.367205,,,,,53.438699,,,,,7.685272,0.102992,-0.043456,-0.126945,,,,,,-0.135842,,,,37548785.509600,
2020-10-07,74.889999,76.029999,72.349998,73.000000,724300,0.000000,0.000000,74.889999,76.029999,72.349998,73.000000,,,,,76.645490,,,,,50.671433,,,,,7.273320,0.099635,-0.021710,-0.137626,,,,,,-0.154603,,,,52873900.000000,
2020-10-08,75.000000,75.000000,69.199997,73.370003,928200,0.000000,0.000000,75.000000,75.000000,69.199997,73.370003,,,,,76.110298,,,,,51.291832,,,,,7.126402,0.097130,0.005069,-0.071383,,,,,,-0.150318,,,,68102036.784600,
2020-10-09,73.739998,76.849998,72.250000,74.000000,1147800,0.000000,0.000000,73.739998,76.849998,72.250000,74.000000,,,,,75.768750,,,,,52.389802,,,,,6.881403,0.092992,0.008587,-0.023102,,,,,,-0.143023,,,,84937200.000000,
2020-10-12,76.940002,77.379997,74.500000,76.730003,855400,0.000000,0.000000,76.940002,77.379997,74.500000,76.730003,,,,,75.923092,,,,,56.921476,,,,,6.550311,0.085368,0.036892,-0.016408,,,,,,-0.111407,,,,65634844.566200,
2020-10-13,76.000000,76.000000,73.480003,73.620003,633100,0.000000,0.000000,76.000000,76.000000,73.480003,73.620003,74.850501,,,,75.555768,,,,,50.969624,74.850501,87.565043,62.135959,0.451611,6.245290,0.084831,-0.040532,-0.013401,,,,,,-0.147423,,,2149365.000000,46608823.899300,
2020-10-14,74.330002,76.900002,73.584999,73.800003,780700,0.000000,0.000000,74.330002,76.900002,73.584999,73.800003,75.301001,,,,75.277310,,,,,51.287105,75.301001,87.121713,63.480289,0.436510,5.980036,0.081030,0.002445,0.010959,,,,,,-0.145339,,,1463740.000000,57615662.342100,
2020-10-15,73.139999,75.129997,71.820000,75.010002,405100,0.000000,0.000000,73.139999,75.129997,71.820000,75.010002,75.828501,,,,75.235116,,,,,53.468315,75.828501,86.497749,65.159253,0.461642,5.742868,0.076561,0.016396,0.022352,0.157740,,,,0.886643,-0.131326,,,1330545.000000,30386551.810200,
