Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,12.560000,12.600000,12.250000,12.490000,719400,0.000000,0.000000,12.560000,12.600000,12.250000,12.490000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,8985306.000000,
2015-01-05,12.490000,12.650000,12.360000,12.610000,831800,0.000000,0.000000,12.490000,12.650000,12.360000,12.610000,,,,,,,,,,50.000000,,,,,,,0.009608,,,,,,,0.000000,,,,10488998.000000,
2015-01-06,12.620000,12.780000,12.050000,12.080000,1101700,0.000000,0.000000,12.620000,12.780000,12.050000,12.080000,,,,,,,,,,50.000000,,,,,,,-0.042030,,,,,,,-0.042030,,,,13308536.000000,
2015-01-07,12.170000,12.270000,11.680000,11.700000,1300700,0.000000,0.000000,12.170000,12.270000,11.680000,11.700000,,,,,,,,,,50.000000,,,,,,,-0.031457,,,,,,,-0.072165,,,,15218190.000000,
2015-01-08,11.750000,11.930000,11.630000,11.820000,1323500,0.000000,0.000000,11.750000,11.930000,11.630000,11.820000,,,,,,,,,,50.000000,,,,,,,0.010256,,,,,,,-0.062649,,,,15643770.000000,
2015-01-09,11.500000,11.700000,10.970000,11.180000,2401300,0.000000,0.000000,11.500000,11.700000,10.970000,11.180000,,,,,,,,,,50.000000,,,,,,,-0.054146,-0.104884,,,,,,-0.113402,,,,26846534.000000,
2015-01-12,11.190000,11.260000,11.110000,11.140000,855900,0.000000,0.000000,11.190000,11.260000,11.110000,11.140000,,,,,,,,,,50.000000,,,,,,,-0.003578,-0.116574,,,,,,-0.116574,,,,9534726.000000,
2015-01-13,11.170000,11.310000,10.870000,10.980000,857800,0.000000,0.000000,11.170000,11.310000,10.870000,10.980000,,,,,,,,,,50.000000,,,,,,,-0.014363,-0.091060,,,,,,-0.129262,,,,9418644.000000,
2015-01-14,10.870000,11.090000,10.840000,11.040000,1391500,0.000000,0.000000,10.870000,11.090000,10.840000,11.040000,,,,,,,,,,50.000000,,,,,,,0.005464,-0.056410,,,,,,-0.124504,,,,15362160.000000,
2015-01-15,11.050000,11.110000,10.760000,10.800000,987300,0.000000,0.000000,11.050000,11.110000,10.760000,10.800000,,,,,,,,,,50.000000,,,,,,,-0.021739,-0.086294,,,,,,-0.143537,,,,10662840.000000,
2015-01-16,10.750000,11.010000,10.710000,10.950000,1508000,0.000000,0.000000,10.750000,11.010000,10.710000,10.950000,,,,,,,,,,50.000000,,,,,,,0.013889,-0.020572,,,,,,-0.131642,,,,16512600.000000,
2015-01-20,10.970000,10.970000,10.800000,10.850000,891500,0.000000,0.000000,10.970000,10.970000,10.800000,10.850000,,,,,11.182088,,,,,50.000000,,,,,,,-0.009132,-0.026032,,,,,,-0.139572,,,,9672775.000000,
2015-01-21,10.810000,10.890000,10.680000,10.740000,610800,0.000000,0.000000,10.810000,10.890000,10.680000,10.740000,,,,,11.105325,,,,,50.000000,,,,,,,-0.010138,-0.021858,,,,,,-0.148295,,,,6559992.000000,
2015-01-22,10.760000,10.960000,10.730000,10.770000,711000,0.000000,0.000000,10.760000,10.960000,10.730000,10.770000,,,,,11.048230,,,,,50.000000,,,,,0.342585,0.031809,0.002793,-0.024457,,,,,,-0.145916,,,,7657470.000000,
2015-01-23,10.780000,10.900000,10.690000,10.770000,722100,0.000000,0.000000,10.780000,10.900000,10.690000,10.770000,,,,,11.001622,,,,,19.324021,,,,,0.328471,0.030499,0.000000,-0.002778,,,,,,-0.145916,,,,7777017.000000,
2015-01-26,10.700000,10.730000,10.500000,10.610000,797000,0.000000,0.000000,10.700000,10.730000,10.500000,10.610000,,,,,10.936903,,,,,17.275670,,,,,0.322457,0.030392,-0.014856,-0.031050,,,,,,-0.158604,,,,8456170.000000,
2015-01-27,10.560000,10.640000,10.500000,10.600000,768900,0.000000,0.000000,10.560000,10.640000,10.500000,10.600000,,,,,10.881855,,,,,17.153288,,,,,0.304263,0.028704,-0.000943,-0.023041,,,,,,-0.159397,,,,8150340.000000,
2015-01-28,10.630000,10.820000,10.550000,10.740000,880500,0.000000,0.000000,10.630000,10.820000,10.550000,10.740000,,,,,10.858896,,,,,25.147956,,,,,0.300940,0.028020,0.013208,0.000000,,,,,,-0.148295,,,,9456570.000000,
2015-01-29,10.790000,10.900000,10.710000,10.770000,721600,0.000000,0.000000,10.790000,10.900000,10.710000,10.770000,,,,,10.844623,,,,,26.778534,,,,,0.290450,0.026968,0.002793,0.000000,,,,,,-0.145916,,,,7771632.000000,
2015-01-30,10.650000,10.820000,10.550000,10.600000,1136600,0.000000,0.000000,10.650000,10.820000,10.550000,10.600000,11.162000,,,,10.805607,,,,,23.636356,11.162000,12.418656,9.905344,0.276391,0.288560,0.027223,-0.015785,-0.015785,,,,,,-0.159397,,,1025945.000000,12047960.000000,
2015-02-02,10.630000,10.740000,10.580000,10.700000,898400,0.000000,0.000000,10.630000,10.740000,10.580000,10.700000,11.072500,,,,10.788858,,,,,28.919927,11.072500,12.176633,9.968367,0.331316,0.276922,0.025881,0.009434,0.008483,,,,,,-0.151467,,,1034895.000000,9612880.000000,
2015-02-03,10.780000,10.950000,10.670000,10.790000,617700,0.000000,0.000000,10.780000,10.950000,10.670000,10.790000,10.981500,,,,10.789039,,,,,33.387039,10.981500,11.820178,10.142822,0.385832,0.277196,0.025690,0.008411,0.017925,-0.136109,,,,0.293616,-0.144330,,,1024190.000000,6664983.000000,
2015-02-04,10.790000,10.860000,10.590000,10.640000,514100,0.000000,0.000000,10.790000,10.860000,10.590000,10.640000,10.909500,,,,10.765607,,,,,30.002708,10.909500,11.581856,10.237144,0.299585,0.276567,0.025993,-0.013902,-0.009311,-0.156225,,,,0.288333,-0.156225,,,994810.000000,5470024.000000,
2015-02-05,10.650000,10.900000,10.600000,10.840000,891400,0.000000,0.000000,10.650000,10.900000,10.600000,10.840000,10.866500,,,,10.777264,,,,,38.896455,10.866500,11.426623,10.306377,0.476344,0.278581,0.025699,0.018797,0.006500,-0.102649,,,,0.274250,-0.140365,,,974345.000000,9662776.000000,
2015-02-06,10.840000,10.890000,10.720000,10.760000,730300,0.000000,0.000000,10.840000,10.890000,10.720000,10.760000,10.813500,,,,10.774566,,,,,36.878015,10.813500,11.149500,10.477500,0.420387,0.269383,0.025036,-0.007380,0.015094,-0.080342,,,,0.257132,-0.146709,,,944685.000000,7858028.000000,
2015-02-09,10.740000,10.750000,10.470000,10.530000,871800,0.000000,0.000000,10.740000,10.750000,10.470000,10.530000,10.781000,,,,10.736445,10.848557,-0.112112,,,31.773107,10.781000,11.092594,10.469406,0.097232,0.271107,0.025746,-0.021375,-0.015888,-0.109137,,,,0.258605,-0.164948,,,868210.000000,9180054.000000,
2015-02-10,10.570000,10.620000,10.370000,10.450000,643200,0.000000,0.000000,10.570000,10.620000,10.370000,10.450000,10.746500,,,,10.691887,10.814810,-0.122923,,,30.206817,10.746500,11.043167,10.449833,0.000282,0.269363,0.025776,-0.007597,-0.031511,-0.065295,,,,0.188814,-0.171293,,,857575.000000,6721440.000000,
2015-02-11,10.440000,10.620000,10.290000,10.550000,1006900,0.000000,0.000000,10.440000,10.620000,10.290000,10.550000,10.725000,,,,10.669853,10.792622,-0.122769,,,34.550082,10.725000,11.012604,10.437396,0.195762,0.274316,0.026002,0.009569,-0.008459,-0.052962,,,,0.193858,-0.163362,,,865030.000000,10622795.000000,
2015-02-12,10.640000,10.790000,10.530000,10.580000,676200,0.000000,0.000000,10.640000,10.790000,10.530000,10.580000,10.702000,,,,10.655920,10.774979,-0.119059,,,35.840033,10.702000,10.955032,10.448968,0.258924,0.273159,0.025818,0.002844,-0.023985,-0.036430,,,,0.189729,-0.160983,,,829265.000000,7154196.000000,
