Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,66.870003,67.029999,62.970001,64.180000,164400,0.000000,0.000000,63.087125,63.238070,59.407749,60.549297,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,10551192.000000,
2015-01-05,63.990002,64.330002,62.119999,62.259998,210900,0.000000,0.000000,60.370035,60.690802,58.605820,58.737900,,,,,,,,,,50.000000,,,,,,,-0.029916,,,,,,,-0.029916,,,,13130633.578200,
2015-01-06,62.299999,62.970001,60.090000,60.560001,174500,0.000000,0.000000,58.775644,59.407743,56.690666,57.134079,,,,,,,,,,50.000000,,,,,,,-0.027305,,,,,,,-0.056404,,,,10567720.174500,
2015-01-07,61.189999,61.549999,59.400002,60.939999,248400,0.000000,0.000000,57.728434,58.068069,56.039698,57.492577,,,,,,,,,,50.000000,,,,,,,0.006275,,,,,,,-0.050483,,,,15137495.751600,
2015-01-08,61.639999,63.099998,61.040001,62.439999,225000,0.000000,0.000000,58.152976,59.530382,57.586920,58.907719,,,,,,,,,,50.000000,,,,,,,0.024614,,,,,,,-0.027111,,,,14048999.775000,
2015-01-09,62.500000,62.939999,60.660000,61.169998,128500,0.000000,0.000000,58.964327,59.379434,57.228417,57.709564,,,,,,,,,,50.000000,,,,,,,-0.020340,-0.046900,,,,,,-0.046900,,,,7860344.743000,
2015-01-12,61.410000,61.830002,60.619999,61.369999,176200,0.000000,0.000000,57.935989,58.332231,57.190679,57.898251,,,,,,,,,,50.000000,,,,,,,0.003270,-0.014295,,,,,,-0.043783,,,,10813393.823800,
2015-01-13,62.009998,63.070000,60.730000,61.290001,192600,0.000000,0.000000,58.502047,59.502084,57.294459,57.822781,,,,,,,,,,50.000000,,,,,,,-0.001303,0.012054,,,,,,-0.045030,,,,11804454.192600,
2015-01-14,60.360001,61.950001,60.299999,61.570000,86100,0.000000,0.000000,56.945388,58.445441,56.888781,58.086937,,,,,,,,,,50.000000,,,,,,,0.004568,0.010338,,,,,,-0.040667,,,,5301177.000000,
2015-01-15,61.930000,62.130001,59.849998,60.029999,169700,0.000000,0.000000,58.426573,58.615260,56.464239,56.634056,,,,,,,,,,50.000000,,,,,,,-0.025012,-0.038597,,,,,,-0.064662,,,,10187090.830300,
2015-01-16,59.820000,61.959999,59.049999,61.910000,151000,0.000000,0.000000,56.435932,58.454870,55.709492,58.407700,,,,,,,,,,50.000000,,,,,,,0.031318,0.012097,,,,,,-0.035369,,,,9348410.000000,
2015-01-20,61.400002,62.500000,55.570000,57.080002,526600,0.000000,0.000000,57.926550,58.964321,52.426357,53.850937,,,,,57.205199,,,,,50.000000,,,,,,,-0.078016,-0.069904,,,,,,-0.110627,,,,30058329.053200,
