Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-07-28,37.000000,38.480000,31.049999,34.639999,12758700,0.000000,0.000000,37.000000,38.480000,31.049999,34.639999,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,441961355.241300,
2015-07-29,34.849998,37.500000,33.599998,34.990002,2027200,0.000000,0.000000,34.849998,37.500000,33.599998,34.990002,,,,,,,,,,50.000000,,,,,,,0.010104,,,,,,,0.000000,,,,70931732.054400,
2015-07-30,34.549999,34.849998,31.500000,31.500000,1123600,0.000000,0.000000,34.549999,34.849998,31.500000,31.500000,,,,,,,,,,50.000000,,,,,,,-0.099743,,,,,,,-0.099743,,,,35393400.000000,
2015-07-31,31.500000,32.000000,30.160000,30.600000,699700,0.000000,0.000000,31.500000,32.000000,30.160000,30.600000,,,,,,,,,,50.000000,,,,,,,-0.028571,,,,,,,-0.125464,,,,21410820.000000,
2015-08-03,32.599998,32.689999,27.500000,27.660000,1449300,0.000000,0.000000,32.599998,32.689999,27.500000,27.660000,,,,,,,,,,50.000000,,,,,,,-0.096078,,,,,,,-0.209488,,,,40087638.000000,
2015-08-04,27.600000,30.000000,27.100000,30.000000,725200,0.000000,0.000000,27.600000,30.000000,27.100000,30.000000,,,,,,,,,,50.000000,,,,,,,0.084599,-0.133949,,,,,,-0.142612,,,,21756000.000000,
2015-08-05,30.490000,32.130001,29.110001,31.480000,489300,0.000000,0.000000,30.490000,32.130001,29.110001,31.480000,,,,,,,,,,50.000000,,,,,,,0.049333,-0.100314,,,,,,-0.100314,,,,15403164.000000,
2015-08-06,31.969999,31.969999,28.120001,28.959999,575200,0.000000,0.000000,31.969999,31.969999,28.120001,28.959999,,,,,,,,,,50.000000,,,,,,,-0.080051,-0.080635,,,,,,-0.172335,,,,16657791.424800,
2015-08-07,29.000000,30.000000,28.011000,28.450001,684800,0.000000,0.000000,29.000000,30.000000,28.011000,28.450001,,,,,,,,,,50.000000,,,,,,,-0.017610,-0.070261,,,,,,-0.186911,,,,19482560.684800,
2015-08-10,29.049999,29.250000,25.549999,27.010000,793700,0.000000,0.000000,29.049999,29.250000,25.549999,27.010000,,,,,,,,,,50.000000,,,,,,,-0.050615,-0.023500,,,,,,-0.228065,,,,21437837.000000,
2015-08-11,26.750000,26.955000,24.680000,25.350000,582600,0.000000,0.000000,26.750000,26.955000,24.680000,25.350000,,,,,,,,,,50.000000,,,,,,,-0.061459,-0.155000,,,,,,-0.275507,,,,14768910.000000,
2015-08-12,24.900000,25.200001,23.250000,24.700001,869500,0.000000,0.000000,24.900000,25.200001,23.250000,24.700001,,,,,28.086275,,,,,50.000000,,,,,,,-0.025641,-0.215375,,,,,,-0.294084,,,,21476650.869500,
2015-08-13,24.219999,24.980000,22.860001,23.150000,614000,0.000000,0.000000,24.219999,24.980000,22.860001,23.150000,,,,,27.229150,,,,,50.000000,,,,,,,-0.062753,-0.200622,,,,,,-0.338382,,,,14214100.000000,
2015-08-14,22.660000,23.950001,21.639999,22.600000,461400,0.000000,0.000000,22.660000,23.950001,21.639999,22.600000,,,,,26.440953,,,,,50.000000,,,,,3.039022,0.134470,-0.023758,-0.205624,,,,,,-0.354101,,,,10427640.000000,
2015-08-17,22.350000,23.000000,20.780001,21.910000,488300,0.000000,0.000000,22.350000,23.000000,20.780001,21.910000,,,,,25.681941,,,,,17.222224,,,,,2.951833,0.134725,-0.030531,-0.188819,,,,,,-0.373821,,,,10698653.000000,
2015-08-18,22.299999,24.750000,21.330000,23.740000,1001700,0.000000,0.000000,22.299999,24.750000,21.330000,23.740000,,,,,25.361020,,,,,28.496298,,,,,2.999985,0.126368,0.083524,-0.063511,,,,,,-0.321520,,,,23780358.000000,
2015-08-19,23.250000,26.129999,22.740000,25.879999,639300,0.000000,0.000000,23.250000,26.129999,22.740000,25.879999,,,,,25.445818,,,,,38.965008,,,,,3.038877,0.117422,0.090143,0.047773,,,,,,-0.260360,,,,16545083.360700,
