Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2017-10-09,25.450001,25.450001,23.985001,24.570000,351000,0.000000,0.000000,25.450001,25.450001,23.985001,24.570000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,8624070.000000,
2017-10-10,24.620001,26.500000,24.504999,26.010000,695300,0.000000,0.000000,24.620001,26.500000,24.504999,26.010000,,,,,,,,,,50.000000,,,,,,,0.058608,,,,,,,0.000000,,,,18084753.000000,
2017-10-11,26.299999,26.690001,25.049999,25.719999,393900,0.000000,0.000000,26.299999,26.690001,25.049999,25.719999,,,,,,,,,,50.000000,,,,,,,-0.011150,,,,,,,-0.011150,,,,10131107.606100,
2017-10-12,25.700001,26.040001,24.160999,24.660000,387200,0.000000,0.000000,25.700001,26.040001,24.160999,24.660000,,,,,,,,,,50.000000,,,,,,,-0.041213,,,,,,,-0.051903,,,,9548352.000000,
2017-10-13,24.500000,25.190001,24.280001,24.420000,141200,0.000000,0.000000,24.500000,25.190001,24.280001,24.420000,,,,,,,,,,50.000000,,,,,,,-0.009732,,,,,,,-0.061130,,,,3448104.000000,
2017-10-16,24.360001,26.990000,24.155001,26.260000,331600,0.000000,0.000000,24.360001,26.990000,24.155001,26.260000,,,,,,,,,,50.000000,,,,,,,0.075348,0.068783,,,,,,0.000000,,,,8707816.000000,
2017-10-17,26.370001,26.950001,23.480000,24.260000,237900,0.000000,0.000000,26.370001,26.950001,23.480000,24.260000,,,,,,,,,,50.000000,,,,,,,-0.076161,-0.067282,,,,,,-0.076161,,,,5771454.000000,
2017-10-18,24.200001,24.660000,23.700001,23.865000,88000,0.000000,0.000000,24.200001,24.660000,23.700001,23.865000,,,,,,,,,,50.000000,,,,,,,-0.016282,-0.072123,,,,,,-0.091203,,,,2100120.000000,
2017-10-19,23.680000,23.790001,22.600000,23.250000,120100,0.000000,0.000000,23.680000,23.790001,22.600000,23.250000,,,,,,,,,,50.000000,,,,,,,-0.025770,-0.057178,,,,,,-0.114623,,,,2792325.000000,
2017-10-20,23.290001,23.940001,22.610001,23.080000,178500,0.000000,0.000000,23.290001,23.940001,22.610001,23.080000,,,,,,,,,,50.000000,,,,,,,-0.007312,-0.054873,,,,,,-0.121097,,,,4119780.000000,
2017-10-23,23.240000,24.100000,22.740000,23.940001,106500,0.000000,0.000000,23.240000,24.100000,22.740000,23.940001,,,,,,,,,,50.000000,,,,,,,0.037262,-0.088347,,,,,,-0.088347,,,,2549610.106500,
2017-10-24,23.700001,24.525999,22.910000,24.250000,59400,0.000000,0.000000,23.700001,24.525999,22.910000,24.250000,,,,,24.198145,,,,,50.000000,,,,,,,0.012949,-0.000412,,,,,,-0.076542,,,,1440450.000000,
2017-10-25,24.240000,24.500000,22.110001,22.530001,147300,0.000000,0.000000,24.240000,24.500000,22.110001,22.530001,,,,,23.908492,,,,,50.000000,,,,,,,-0.070928,-0.055940,,,,,,-0.142041,,,,3318669.147300,
2017-10-26,22.590000,23.108000,21.375000,22.959999,90000,0.000000,0.000000,22.590000,23.108000,21.375000,22.959999,,,,,23.746994,,,,,50.000000,,,,,1.771367,0.077150,0.019086,-0.012473,,,,,,-0.125666,,,,2066399.910000,
2017-10-27,23.010000,23.850000,22.131001,23.719999,138000,0.000000,0.000000,23.010000,23.850000,22.131001,23.719999,,,,,23.742472,,,,,46.719840,,,,,1.765792,0.074443,0.033101,0.027730,,,,,,-0.096725,,,,3273359.862000,
2017-10-30,23.820000,24.450001,22.500000,24.420000,149300,0.000000,0.000000,23.820000,24.450001,22.500000,24.420000,,,,,23.854439,,,,,51.540103,,,,,1.784738,0.073085,0.029511,0.020050,,,,,,-0.070069,,,,3645906.000000,
2017-10-31,25.100000,25.999001,24.309999,25.580000,248900,0.000000,0.000000,25.100000,25.999001,24.309999,25.580000,,,,,24.136384,,,,,58.276530,,,,,1.775192,0.069398,0.047502,0.054845,,,,,,-0.025895,,,,6366862.000000,
2017-11-01,25.549999,26.730000,25.200001,26.100000,243200,0.000000,0.000000,25.549999,26.730000,25.200001,26.100000,,,,,24.454191,,,,,60.900441,,,,,1.751414,0.067104,0.020328,0.158455,,,,,,-0.006093,,,,6347520.000000,
2017-11-02,26.020000,26.410000,23.254999,24.090000,255700,0.000000,0.000000,26.020000,26.410000,23.254999,24.090000,,,,,24.395716,,,,,48.265278,,,,,1.884137,0.078212,-0.077011,0.049216,,,,,,-0.082635,,,,6159813.000000,
2017-11-03,23.730000,26.000000,22.879999,25.889999,118600,0.000000,0.000000,23.730000,26.000000,22.879999,25.889999,24.478750,,,,24.634042,,,,,56.890897,24.478750,26.726729,22.230771,0.813893,1.998358,0.077186,0.074720,0.091484,,,,,,-0.014090,,,224080.000000,3070553.881400,
2017-11-06,25.219999,25.607000,23.770000,24.200001,133800,0.000000,0.000000,25.219999,25.607000,23.770000,24.200001,24.460250,,,,24.565204,,,,,48.683773,24.460250,26.711155,22.209345,0.442190,2.009369,0.083032,-0.065276,-0.009009,,,,,,-0.078446,,,213220.000000,3237960.133800,
2017-11-07,24.070000,24.870001,22.160999,22.410000,206200,0.000000,0.000000,24.070000,24.870001,22.160999,22.410000,24.280250,,,,24.225012,,,,,41.804766,24.280250,26.584480,21.976020,0.094170,2.071514,0.092437,-0.073967,-0.123925,-0.087912,,,,0.797182,-0.146611,,,188765.000000,4620942.000000,
2017-11-08,22.410000,23.410000,21.910999,23.219999,350700,0.000000,0.000000,22.410000,23.410000,21.910999,23.219999,24.155250,,,,24.067007,,,,,45.553845,24.155250,26.401124,21.909376,0.291785,2.021530,0.087060,0.036145,-0.110345,-0.107266,,,,0.778837,-0.115765,,,186605.000000,8143253.649300,
2017-11-09,22.980000,22.980000,21.750000,22.000000,159300,0.000000,0.000000,22.980000,22.980000,21.750000,22.000000,24.022250,,,,23.743128,,,,,41.244036,24.022250,26.449955,21.594545,0.083506,1.974130,0.089733,-0.052541,-0.086758,-0.144634,,,,0.796469,-0.162224,,,175210.000000,3504600.000000,
