Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2019-09-19,40.349998,41.439999,36.029999,37.549999,22025800,0.000000,0.000000,40.349998,41.439999,36.029999,37.549999,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,827068767.974200,
2019-09-20,38.590000,39.200001,36.150002,36.150002,3322600,0.000000,0.000000,38.590000,39.200001,36.150002,36.150002,,,,,,,,,,50.000000,,,,,,,-0.037284,,,,,,,-0.037284,,,,120111996.645200,
2019-09-23,36.580002,38.150002,35.750000,36.110001,2237300,0.000000,0.000000,36.580002,38.150002,35.750000,36.110001,,,,,,,,,,50.000000,,,,,,,-0.001107,,,,,,,-0.038349,,,,80788905.237300,
2019-09-24,36.009998,37.119999,34.060001,34.500000,3175000,0.000000,0.000000,36.009998,37.119999,34.060001,34.500000,,,,,,,,,,50.000000,,,,,,,-0.044586,,,,,,,-0.081225,,,,109537500.000000,
2019-09-25,34.599998,35.599998,34.200001,35.250000,3026600,0.000000,0.000000,34.599998,35.599998,34.200001,35.250000,,,,,,,,,,50.000000,,,,,,,0.021739,,,,,,,-0.061252,,,,106687650.000000,
2019-09-26,36.000000,36.290001,32.299999,32.439999,2658200,0.000000,0.000000,36.000000,36.290001,32.299999,32.439999,,,,,,,,,,50.000000,,,,,,,-0.079716,-0.136085,,,,,,-0.136085,,,,86232005.341800,
2019-09-27,33.000000,33.509998,30.469999,32.270000,2475900,0.000000,0.000000,33.000000,33.509998,30.469999,32.270000,,,,,,,,,,50.000000,,,,,,,-0.005240,-0.107331,,,,,,-0.140612,,,,79897293.000000,
2019-09-30,32.639999,34.200001,32.000000,33.910000,1385000,0.000000,0.000000,32.639999,34.200001,32.000000,33.910000,,,,,,,,,,50.000000,,,,,,,0.050821,-0.060925,,,,,,-0.096937,,,,46965350.000000,
2019-10-01,34.250000,34.480000,31.250000,32.389999,1291300,0.000000,0.000000,34.250000,34.480000,31.250000,32.389999,,,,,,,,,,50.000000,,,,,,,-0.044825,-0.061159,,,,,,-0.137417,,,,41825205.708700,
2019-10-02,31.650000,31.900000,30.010000,31.100000,1877200,0.000000,0.000000,31.650000,31.900000,30.010000,31.100000,,,,,,,,,,50.000000,,,,,,,-0.039827,-0.117730,,,,,,-0.171771,,,,58380920.000000,
2019-10-03,31.180000,34.799999,30.500000,32.889999,2437800,0.000000,0.000000,31.180000,34.799999,30.500000,32.889999,,,,,,,,,,50.000000,,,,,,,0.057556,0.013872,,,,,,-0.124101,,,,80179239.562200,
2019-10-04,33.049999,35.080002,32.799000,34.720001,918700,0.000000,0.000000,33.049999,35.080002,32.799000,34.720001,,,,,33.523219,,,,,50.000000,,,,,,,0.055640,0.075922,,,,,,-0.075366,,,,31897264.918700,
2019-10-07,34.900002,37.970001,34.400002,36.810001,1983800,0.000000,0.000000,34.900002,37.970001,34.400002,36.810001,,,,,34.093929,,,,,50.000000,,,,,,,0.060196,0.085521,,,,,,-0.019707,,,,73023679.983800,
2019-10-08,36.500000,36.700001,34.919998,35.450001,1217000,0.000000,0.000000,36.500000,36.700001,34.919998,35.450001,,,,,34.324825,,,,,50.000000,,,,,2.942278,0.082998,-0.036946,0.094474,,,,,,-0.055925,,,,43142651.217000,
2019-10-09,35.849998,37.490002,35.610001,36.750000,1166800,0.000000,0.000000,35.849998,37.490002,35.610001,36.750000,,,,,34.731083,,,,,54.956851,,,,,2.846226,0.077448,0.036671,0.181672,,,,,,-0.021305,,,,42879900.000000,
2019-10-10,36.750000,37.349998,35.150002,35.599998,1348600,0.000000,0.000000,36.750000,37.349998,35.150002,35.599998,,,,,34.874678,,,,,50.229487,,,,,2.779760,0.078083,-0.031293,0.082396,,,,,,-0.051931,,,,48010157.302800,
2019-10-11,35.930000,36.480000,35.369999,35.669998,2168600,0.000000,0.000000,35.930000,36.480000,35.369999,35.669998,,,,,35.004628,,,,,50.508556,,,,,2.613253,0.073262,0.001966,0.027362,,,,,,-0.050067,,,,77353957.662800,
2019-10-14,35.650002,36.250000,32.950001,33.090000,2194800,0.000000,0.000000,35.650002,36.250000,32.950001,33.090000,,,,,34.694749,,,,,41.313795,,,,,2.679851,0.080987,-0.072330,-0.101060,,,,,,-0.118775,,,,72625932.000000,
2019-10-15,33.169998,34.849998,32.509998,34.799999,1473000,0.000000,0.000000,33.169998,34.849998,32.509998,34.799999,,,,,34.711648,,,,,48.062462,,,,,2.647715,0.076084,0.051677,-0.018336,,,,,,-0.073236,,,,51260398.527000,
2019-10-16,33.560001,33.770000,31.900000,32.200001,1987700,0.000000,0.000000,33.560001,33.770000,31.900000,32.200001,34.482500,,,,34.311061,,,,,40.446500,34.482500,38.171425,30.793575,0.190628,2.671031,0.082951,-0.074713,-0.123809,,,,,,-0.142477,,,3018585.000000,64003941.987700,
2019-10-17,32.299999,34.160000,32.299999,33.959999,1488800,0.000000,0.000000,32.299999,34.160000,32.299999,33.959999,34.303000,,,,34.255384,,,,,46.613501,34.303000,37.701384,30.904615,0.449535,2.606667,0.076757,0.054658,-0.046067,,,,,,-0.095606,,,1991735.000000,50559646.511200,
2019-10-18,33.840000,33.875000,31.459999,31.570000,1305000,0.000000,0.000000,33.840000,33.875000,31.459999,31.570000,34.074000,,,,33.831505,,,,,40.482832,34.074000,37.564344,30.583656,0.141296,2.597193,0.082268,-0.070377,-0.114942,-0.159254,,,,0.797907,-0.159254,,,1890855.000000,41198850.000000,
2019-10-21,31.900000,32.099998,29.700001,30.010000,1981500,0.000000,0.000000,31.900000,32.099998,29.700001,30.010000,33.769000,,,,33.230696,,,,,37.056914,33.769000,37.563100,29.974900,0.004626,2.579976,0.085971,-0.049414,-0.093079,-0.169848,,,,0.804782,-0.200799,,,1878065.000000,59464815.000000,
2019-10-22,30.049999,30.309999,28.010000,28.040001,1964400,0.000000,0.000000,30.049999,30.309999,28.010000,28.040001,33.446000,,,,32.417369,,,,,33.232261,33.446000,38.001567,28.890433,-0.093340,2.555914,0.091152,-0.065645,-0.194253,-0.223484,,,,0.828920,-0.253262,,,1817535.000000,55081777.964400,
2019-10-23,27.900000,29.250000,27.549999,28.760000,2779600,0.000000,0.000000,27.900000,29.250000,27.549999,28.760000,33.121500,,,,31.845923,,,,,35.838694,33.121500,38.045679,28.197320,0.057134,2.483408,0.086349,0.025678,-0.106832,-0.166377,,,,0.828427,-0.234088,,,1805185.000000,79941296.000000,
2019-10-24,29.160000,33.459999,29.150000,32.500000,3813400,0.000000,0.000000,29.160000,33.459999,29.150000,32.500000,33.124500,,,,31.947875,32.815918,-0.868043,,,47.338652,33.124500,38.047004,28.201996,0.436567,2.668719,0.082114,0.130042,-0.042992,-0.078014,,,,0.952026,-0.134487,,,1862945.000000,123935500.000000,
2019-10-25,32.860001,34.500000,32.400002,34.299999,2117700,0.000000,0.000000,32.860001,34.500000,32.400002,34.299999,33.226000,,,,32.313762,32.941581,-0.627819,,,51.814967,33.226000,38.158023,28.293976,0.608880,2.621745,0.076436,0.055385,0.086474,0.057337,,,,0.928088,-0.086551,,,1845035.000000,72637107.882300,
2019-10-28,35.000000,35.437000,33.110001,33.279999,1906100,0.000000,0.000000,35.000000,35.437000,33.110001,33.279999,33.194500,,,,32.463810,32.969936,-0.506126,,,49.259718,33.194500,38.116166,28.272834,0.508686,2.597669,0.078055,-0.029738,0.108964,0.031298,,,,0.935104,-0.113715,,,1871090.000000,63435006.093900,
2019-10-29,33.189999,34.080002,32.599998,33.650002,716700,0.000000,0.000000,33.189999,34.080002,32.599998,33.650002,33.257500,,,,32.647749,33.026368,-0.378619,,,50.218751,33.257500,38.168050,28.346949,0.539965,2.507300,0.074511,0.011118,0.200071,-0.007667,,,,0.919562,-0.103861,,,1842360.000000,24116956.433400,
2019-10-30,33.790001,34.869999,33.380001,34.810001,919700,0.000000,0.000000,33.790001,34.869999,33.380001,34.810001,33.443000,,,,32.982633,33.173067,-0.190434,,,53.204942,33.443000,38.290276,28.595724,0.641007,2.425814,0.069687,0.034472,0.210362,0.074714,,,,0.910523,-0.072969,,,1794485.000000,32014757.919700,
2019-10-31,34.820000,34.990002,33.119999,33.590000,965200,0.000000,0.000000,34.820000,34.990002,33.119999,33.590000,33.478000,,,,33.076604,33.207081,-0.130477,,,49.820062,33.478000,38.318568,28.637432,0.511569,2.381676,0.070904,-0.035047,0.033538,0.080064,,,,0.907705,-0.105459,,,1720855.000000,32421068.000000,
2019-11-01,33.700001,34.480000,33.630001,34.020000,803900,0.000000,0.000000,33.700001,34.480000,33.630001,34.020000,33.443000,,,,33.222437,33.272905,-0.050468,,,51.003244,33.443000,38.255799,28.630201,0.559944,2.264158,0.066554,0.012801,-0.008163,0.034357,,,,0.888220,-0.094008,,,1715115.000000,27348678.000000,
2019-11-04,34.529999,34.869999,33.360001,34.439999,865500,0.000000,0.000000,34.529999,34.869999,33.360001,34.439999,33.324500,,,,33.410513,33.366761,0.043752,,,52.189049,33.324500,37.899049,28.749951,0.621924,2.205177,0.064030,0.012346,0.034856,-0.008065,,,,0.868384,-0.082823,,,1659200.000000,29807819.134500,
2019-11-05,34.500000,35.250000,33.209999,34.910000,1021100,0.000000,0.000000,34.500000,35.250000,33.209999,34.910000,33.297500,,,,33.641994,33.490083,0.151911,-0.121101,0.273011,53.543999,33.297500,37.825363,28.769637,0.678064,2.192346,0.062800,0.013647,0.037444,-0.051616,,,,0.843020,-0.070306,,,1649405.000000,35646601.000000,
2019-11-06,34.560001,34.759998,32.889999,33.060001,1257800,0.000000,0.000000,34.560001,34.759998,32.889999,33.060001,33.113000,,,,33.552197,33.455914,0.096283,-0.072394,0.168677,47.801574,33.113000,37.339188,28.886811,0.493730,2.179042,0.065912,-0.052993,-0.050273,-0.067419,,,,0.853364,-0.119574,,,1653955.000000,41582869.257800,
2019-11-07,33.299999,33.740002,31.000000,31.290001,1016600,0.000000,0.000000,33.299999,33.740002,31.000000,31.290001,32.897500,,,,33.203314,33.284758,-0.081444,-0.074374,-0.007069,43.045006,32.897500,37.028195,28.766805,0.305420,2.222098,0.071016,-0.053539,-0.068473,-0.148571,,,,0.859111,-0.166711,,,1637355.000000,31809415.016600,
2019-11-08,31.110001,32.830002,30.260000,32.810001,931700,0.000000,0.000000,31.110001,32.830002,30.260000,32.810001,32.754500,,,,33.142679,33.247426,-0.104747,-0.080897,-0.023850,47.844613,32.754500,36.673670,28.835331,0.507081,2.248660,0.068536,0.048578,-0.035567,-0.078371,,,,0.874199,-0.126232,,,1575510.000000,30569077.931700,
2019-11-11,32.759998,34.000000,32.360001,33.549999,1665000,0.000000,0.000000,32.759998,34.000000,32.360001,33.549999,32.777500,,,,33.205453,33.271110,-0.065657,-0.077672,0.012015,50.051441,32.777500,36.710335,28.844665,0.598211,2.202417,0.065646,0.022554,-0.025842,-0.059434,,,,0.878408,-0.106525,,,1549020.000000,55860748.335000,
2019-11-12,33.810001,35.200001,33.799999,34.400002,3258700,0.000000,0.000000,33.810001,35.200001,33.799999,34.400002,32.757500,,,,33.389503,33.359106,0.030396,-0.055064,0.085460,52.535777,32.757500,36.650900,28.864101,0.710934,2.160638,0.062809,0.025335,-0.014609,0.039589,,,,0.843601,-0.083888,,,1638305.000000,112099286.517400,
2019-11-13,38.820000,41.919998,38.250000,40.189999,10597600,0.000000,0.000000,38.820000,41.919998,38.250000,40.189999,33.157000,,,,34.437046,33.889514,0.547532,0.069850,0.477681,65.224187,33.157000,38.261021,28.052979,1.188966,2.564275,0.063804,0.168314,0.215668,0.154885,,,,1.008688,0.000000,,,2068800.000000,425917533.402400,
2019-11-14,40.180000,41.720001,39.380001,41.369999,2564300,0.000000,0.000000,40.180000,41.720001,39.380001,41.369999,33.527500,,,,35.504786,34.468292,1.036494,0.268779,0.767715,67.151468,33.527500,39.815426,27.239575,1.123616,2.547449,0.061577,0.029361,0.322148,0.284783,,,,0.963623,0.000000,,,2122575.000000,106085088.435700,
2019-11-15,41.750000,42.959999,40.430000,40.630001,2117200,0.000000,0.000000,41.750000,42.959999,40.430000,40.630001,33.980500,,,,36.293989,34.943467,1.350521,0.490111,0.860410,64.728775,33.980500,40.943788,27.017212,0.977468,2.546145,0.062667,-0.017887,0.238342,0.196408,,,,0.957513,-0.017887,,,2163185.000000,86021838.117200,
2019-11-18,40.720001,41.480000,39.750000,40.320000,1151500,0.000000,0.000000,40.720001,41.480000,39.750000,40.320000,34.496000,,,,36.913845,35.356834,1.557012,0.707406,0.849606,63.692093,34.496000,41.742410,27.249591,0.901854,2.485337,0.061640,-0.007630,0.201788,0.277162,,,,0.914662,-0.025381,,,2121685.000000,46428480.000000,
2019-11-19,40.450001,40.880001,37.529999,39.150002,1890800,0.000000,0.000000,40.450001,40.880001,37.529999,39.150002,35.051500,,,,37.258091,35.647648,1.610442,0.890654,0.719788,59.799385,35.051500,41.906891,28.196109,0.798925,2.549562,0.065123,-0.029018,0.138081,0.304565,,,,0.899669,-0.053662,,,2118005.000000,74024823.781600,
2019-11-20,38.830002,39.938000,37.599998,38.400002,1158000,0.000000,0.000000,38.830002,39.938000,37.599998,38.400002,35.533500,,,,37.433865,35.858120,1.575745,1.029270,0.546475,57.378489,35.533500,41.861647,29.205354,0.726488,2.533892,0.065987,-0.019157,-0.044538,0.369472,,,,0.861280,-0.071791,,,2036925.000000,44467202.316000,
2019-11-21,38.240002,40.169998,38.180000,40.029999,1410300,0.000000,0.000000,38.240002,40.169998,38.180000,40.029999,35.910000,,,,37.833454,36.176380,1.657074,1.156000,0.501074,61.067438,35.910000,42.372804,29.447197,0.818747,2.493714,0.062296,0.042448,-0.032391,0.391864,,,,0.865502,-0.032391,,,1916770.000000,56454307.589700,
2019-11-22,41.349998,42.700001,39.709999,41.040001,2671100,0.000000,0.000000,41.349998,42.700001,39.709999,41.040001,36.247000,,,,38.326961,36.546592,1.780369,1.281802,0.498567,63.193234,36.247000,43.050260,29.443741,0.852258,2.530286,0.061654,0.025231,0.010091,0.262769,,,,0.763480,-0.007977,,,1944440.000000,109621946.671100,
2019-11-25,41.500000,44.090000,41.466999,42.810001,2295000,0.000000,0.000000,41.500000,44.090000,41.466999,42.810001,36.723501,,,,39.016887,37.022380,1.994506,1.425189,0.569317,66.631798,36.723501,43.972158,29.474843,0.919836,2.568498,0.059998,0.043129,0.061756,0.248105,,,,0.755891,0.000000,,,1963885.000000,98248952.295000,
2019-11-26,43.099998,43.700001,39.810001,40.549999,1779400,0.000000,0.000000,43.099998,43.700001,39.810001,40.549999,37.068500,,,,39.252816,37.289844,1.962971,1.533256,0.429715,59.046636,37.068500,44.357925,29.779076,0.738805,2.665459,0.065733,-0.052791,0.035760,0.218450,,,,0.775748,-0.052791,,,2017020.000000,72154668.220600,
2019-11-27,40.799999,42.200001,39.720001,41.860001,1278500,0.000000,0.000000,40.799999,42.200001,39.720001,41.860001,37.421000,35.179000,,,39.654016,37.635750,2.018266,1.630626,0.387640,61.763742,37.421000,44.929132,29.912869,0.795613,2.651878,0.063351,0.032306,0.090104,0.243982,,,,0.779411,-0.022191,,,2034960.000000,53518011.278500,
2019-11-29,41.820000,42.200001,40.560001,40.770000,574800,0.000000,0.000000,41.820000,42.200001,40.560001,40.770000,37.780000,35.243400,,,39.825740,37.872592,1.953148,1.695326,0.257822,58.297895,37.780000,45.202991,30.357009,0.701401,2.577912,0.063231,-0.026039,0.018486,0.171215,,,,0.785150,-0.047652,,,2015440.000000,23434596.000000,
2019-12-02,41.110001,41.320000,37.840000,39.599998,2047900,0.000000,0.000000,41.110001,41.320000,37.840000,39.599998,38.059000,35.312400,,,39.791005,38.002930,1.788074,1.713920,0.074154,54.746672,38.059000,45.304278,30.813722,0.606345,2.643743,0.066761,-0.028698,-0.035088,0.178922,,,,0.780993,-0.074983,,,2077640.000000,81096835.904200,
2019-12-03,37.580002,38.722000,37.500000,37.770000,2118900,0.000000,0.000000,37.580002,38.722000,37.500000,37.770000,38.225500,35.345600,,,39.480036,37.985379,1.494657,1.669983,-0.175326,49.652060,38.225500,45.270897,31.180104,0.467674,2.604124,0.068947,-0.046212,-0.117730,0.110229,,,,0.803765,-0.117730,,,2140310.000000,80030853.000000,
2019-12-04,38.000000,38.250000,36.090000,36.919998,1662400,0.000000,0.000000,38.000000,38.250000,36.090000,36.919998,38.326000,35.394000,,,39.086137,37.905206,1.180931,1.572021,-0.391090,47.443623,38.326000,45.228150,31.423850,0.398148,2.571810,0.069659,-0.022505,-0.089519,0.072009,,,,0.809430,-0.137585,,,2172375.000000,61375804.675200,
2019-12-05,36.830002,36.830002,35.810001,35.860001,2028400,0.000000,0.000000,36.830002,36.830002,35.810001,35.860001,38.466000,35.406200,,,38.589757,37.751478,0.838279,1.425091,-0.586812,44.769394,38.466000,45.023388,31.908612,0.301293,2.465592,0.068756,-0.028711,-0.143335,0.027213,,,,0.816664,-0.162345,,,2210905.000000,72738426.028400,
2019-12-06,35.930000,36.330002,35.599998,35.910000,2864400,0.000000,0.000000,35.930000,36.330002,35.599998,35.910000,38.697000,35.475600,,,38.177451,37.613215,0.564236,1.252749,-0.688513,44.927083,38.697000,44.468396,32.925604,0.258551,2.339635,0.065153,0.001394,-0.119205,0.086207,,,,0.791459,-0.161177,,,2303295.000000,102860604.000000,
2019-12-09,34.630001,36.040001,34.099998,35.160000,3169400,0.000000,0.000000,34.630001,36.040001,34.099998,35.160000,38.814500,35.533400,,,37.713194,37.429206,0.283988,1.058843,-0.774855,42.946327,38.814500,44.161320,33.467680,0.158255,2.310666,0.065719,-0.020886,-0.112121,0.123682,,,,0.768749,-0.178697,,,2415180.000000,111436104.000000,
2019-12-10,34.330002,36.250000,34.259998,34.810001,5370700,0.000000,0.000000,34.330002,36.250000,34.259998,34.810001,38.877500,35.551400,,,37.266521,37.232930,0.033591,0.853663,-0.820071,42.015388,38.877500,43.987592,33.767408,0.102013,2.287446,0.065712,-0.009954,-0.078369,0.060957,,,,0.755119,-0.186872,,,2600465.000000,186954072.370700,
2019-12-11,34.810001,35.680000,33.060001,35.549999,3372400,0.000000,0.000000,34.810001,35.680000,33.060001,35.549999,38.935000,35.614600,,,37.002427,37.106924,-0.104497,0.661934,-0.766431,44.742691,38.935000,43.855315,34.014685,0.156018,2.311503,0.065021,0.021258,-0.037107,0.059613,,,,0.754728,-0.169587,,,2606150.000000,119888816.627600,
