Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2021-05-10,10.000000,10.000000,9.910000,10.000000,1700,0.000000,0.000000,10.000000,10.000000,9.910000,10.000000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,17000.000000,
2021-05-11,10.000000,10.020000,9.910000,9.910000,600300,0.000000,0.000000,10.000000,10.020000,9.910000,9.910000,,,,,,,,,,50.000000,,,,,,,-0.009000,,,,,,,-0.009000,,,,5948973.000000,
2021-05-12,9.900000,9.970000,9.900000,9.930000,19900,0.000000,0.000000,9.900000,9.970000,9.900000,9.930000,,,,,,,,,,50.000000,,,,,,,0.002018,,,,,,,-0.007000,,,,197607.000000,
2021-05-13,9.900000,9.940000,9.900000,9.900000,18300,0.000000,0.000000,9.900000,9.940000,9.900000,9.900000,,,,,,,,,,50.000000,,,,,,,-0.003021,,,,,,,-0.010000,,,,181170.000000,
2021-05-14,9.900000,9.933000,9.870000,9.890000,22900,0.000000,0.000000,9.900000,9.933000,9.870000,9.890000,,,,,,,,,,50.000000,,,,,,,-0.001010,,,,,,,-0.011000,,,,226481.000000,
2021-05-17,9.870000,9.900000,9.810000,9.850000,249600,0.000000,0.000000,9.870000,9.900000,9.810000,9.850000,,,,,,,,,,50.000000,,,,,,,-0.004044,-0.015000,,,,,,-0.015000,,,,2458560.000000,
2021-05-18,9.850000,9.875000,9.810000,9.810000,60100,0.000000,0.000000,9.850000,9.875000,9.810000,9.810000,,,,,,,,,,50.000000,,,,,,,-0.004061,-0.010091,,,,,,-0.019000,,,,589581.000000,
2021-05-19,9.900000,9.907000,9.780000,9.831000,390700,0.000000,0.000000,9.900000,9.907000,9.780000,9.831000,,,,,,,,,,50.000000,,,,,,,0.002141,-0.009970,,,,,,-0.016900,,,,3840971.700000,
2021-05-20,9.900000,9.900000,9.840000,9.850000,34000,0.000000,0.000000,9.900000,9.900000,9.840000,9.850000,,,,,,,,,,50.000000,,,,,,,0.001933,-0.005051,,,,,,-0.015000,,,,334900.000000,
2021-05-21,9.840000,9.890000,9.810000,9.830000,51400,0.000000,0.000000,9.840000,9.890000,9.810000,9.830000,,,,,,,,,,50.000000,,,,,,,-0.002030,-0.006067,,,,,,-0.017000,,,,505262.000000,
2021-05-24,9.810000,9.880000,9.810000,9.830000,25300,0.000000,0.000000,9.810000,9.880000,9.810000,9.830000,,,,,,,,,,50.000000,,,,,,,0.000000,-0.002030,,,,,,-0.017000,,,,248699.000000,
2021-05-25,9.830000,9.924000,9.830000,9.830000,5500,0.000000,0.000000,9.830000,9.924000,9.830000,9.830000,,,,,9.850033,,,,,50.000000,,,,,,,0.000000,0.002039,,,,,,-0.017000,,,,54065.000000,
2021-05-26,9.930000,9.930000,9.760000,9.780000,20100,0.000000,0.000000,9.930000,9.930000,9.760000,9.780000,,,,,9.837873,,,,,50.000000,,,,,,,-0.005086,-0.005188,,,,,,-0.022000,,,,196578.000000,
2021-05-27,9.778000,9.797000,9.770000,9.797000,40700,0.000000,0.000000,9.778000,9.797000,9.770000,9.797000,,,,,9.830913,,,,,50.000000,,,,,0.084171,0.008591,0.001738,-0.005381,,,,,,-0.020300,,,,398737.900000,
2021-05-28,9.750000,9.825000,9.750000,9.790000,11800,0.000000,0.000000,9.750000,9.825000,9.750000,9.790000,,,,,9.824060,,,,,23.447916,,,,,0.083194,0.008498,-0.000715,-0.004069,,,,,,-0.021000,,,,115522.000000,
2021-06-01,9.910000,9.930000,9.780000,9.790000,22500,0.000000,0.000000,9.910000,9.930000,9.780000,9.790000,,,,,9.818431,,,,,23.447916,,,,,0.090065,0.009200,0.000000,-0.004069,,,,,,-0.021000,,,,220275.000000,
2021-06-02,9.790000,9.900000,9.790000,9.810000,1363400,0.000000,0.000000,9.790000,9.900000,9.790000,9.810000,,,,,9.817053,,,,,31.140495,,,,,0.092053,0.009384,0.002043,-0.002035,,,,,,-0.019000,,,,13374954.000000,
2021-06-03,9.830000,9.850000,9.790000,9.810000,2718400,0.000000,0.000000,9.830000,9.850000,9.790000,9.810000,,,,,9.815912,,,,,31.140495,,,,,0.088945,0.009067,0.000000,0.003067,,,,,,-0.019000,,,,26667504.000000,
2021-06-04,9.790000,10.070000,9.790000,9.880000,802300,0.000000,0.000000,9.790000,10.070000,9.790000,9.880000,,,,,9.826202,,,,,51.090584,,,,,0.107011,0.010831,0.007136,0.008472,,,,,,-0.012000,,,,7926724.000000,
2021-06-07,10.048000,10.070000,9.900000,9.970000,1400200,0.000000,0.000000,10.048000,10.070000,9.900000,9.970000,9.854400,,,,9.849137,,,,,65.093452,9.854400,9.978185,9.730615,0.966939,0.114681,0.011503,0.009109,0.018386,,,,,,-0.003000,,,392955.000000,13959994.000000,
2021-06-08,10.000000,10.001000,9.970000,9.990000,547100,0.000000,0.000000,10.000000,10.001000,9.970000,9.990000,9.853900,,,,9.871477,,,,,67.331773,9.853900,9.975266,9.732534,1.060702,0.107106,0.010721,0.002006,0.020429,,,,,,-0.001000,,,420225.000000,5465529.000000,
2021-06-09,10.100000,10.100000,9.800000,9.900000,860200,0.000000,0.000000,10.100000,10.100000,9.800000,9.900000,9.853400,,,,9.875979,,,,,51.368850,9.853400,9.973872,9.732928,0.693406,0.124240,0.012549,-0.009009,0.009174,-0.010000,,,,0.069969,-0.010000,,,433220.000000,8515980.000000,
2021-06-10,9.950000,9.990000,9.920000,9.920000,457800,0.000000,0.000000,9.950000,9.990000,9.920000,9.920000,9.852900,,,,9.882900,,,,,53.979883,9.852900,9.972110,9.733690,0.781437,0.121251,0.012223,0.002020,0.011213,0.001009,,,,0.063119,-0.008000,,,455115.000000,4541376.000000,
2021-06-11,9.990000,9.990000,9.950000,9.970000,75600,0.000000,0.000000,9.990000,9.990000,9.950000,9.970000,9.856400,,,,9.896548,,,,,59.792006,9.856400,9.985160,9.727640,0.941131,0.116846,0.011720,0.005040,0.009109,0.004028,,,,0.065138,-0.003000,,,457980.000000,753732.000000,
2021-06-14,10.000000,10.060000,9.980000,10.000000,304000,0.000000,0.000000,10.000000,10.060000,9.980000,10.000000,9.861900,,,,9.912712,,,,,62.825661,9.861900,10.005271,9.718529,0.981617,0.114572,0.011457,0.003009,0.003009,0.010101,,,,0.064730,0.000000,,,472035.000000,3040000.000000,
2021-06-15,10.020000,10.050000,9.990000,10.000000,255700,0.000000,0.000000,10.020000,10.050000,9.990000,10.000000,9.869400,,,,9.926317,9.897943,0.028375,,,62.825661,9.869400,10.025297,9.713503,0.918867,0.110010,0.011001,0.000000,0.001001,0.011122,,,,0.064530,0.000000,,,472340.000000,2557000.000000,
2021-06-16,10.020000,10.020000,9.988000,9.995000,257000,0.000000,0.000000,10.020000,10.020000,9.988000,9.995000,9.878650,,,,9.937001,9.906161,0.030840,,,61.922592,9.878650,10.041505,9.715795,0.857219,0.103566,0.010362,-0.000500,0.009596,0.014721,,,,0.062497,-0.000500,,,482185.000000,2568715.000000,
2021-06-17,10.000000,10.032000,10.000000,10.010000,227800,0.000000,0.000000,10.000000,10.032000,10.000000,10.010000,9.887600,,,,9.948337,9.914861,0.033476,,,63.612422,9.887600,10.058885,9.716315,0.857298,0.098129,0.009803,0.001501,0.009073,0.020387,,,,0.060077,0.000000,,,474040.000000,2280278.000000,
2021-06-18,10.050000,10.050000,10.000000,10.010000,186900,0.000000,0.000000,10.050000,10.050000,10.000000,10.010000,9.895600,,,,9.957899,9.922756,0.035143,,,63.612422,9.895600,10.074277,9.716923,0.820130,0.094237,0.009414,0.000000,0.004012,0.018208,,,,0.060009,0.000000,,,481685.000000,1870869.000000,
2021-06-21,10.050000,10.050000,9.960000,9.970000,77400,0.000000,0.000000,10.050000,10.050000,9.960000,9.970000,9.902600,,,,9.959773,9.926642,0.033132,,,55.935279,9.902600,10.081426,9.723774,0.688451,0.093898,0.009418,-0.003996,-0.003000,0.012183,,,,0.062157,-0.003996,,,482985.000000,771678.000000,
2021-06-22,9.980000,10.030000,9.970000,10.010000,234500,0.000000,0.000000,9.980000,10.030000,9.970000,10.010000,9.911600,,,,9.967544,9.933442,0.034102,,,61.003629,9.911600,10.093139,9.730061,0.771016,0.091206,0.009111,0.004012,0.001000,0.018311,,,,0.062478,0.000000,,,493445.000000,2347345.000000,
2021-06-23,10.040000,10.040000,9.960000,10.000000,159100,0.000000,0.000000,10.040000,10.040000,9.960000,10.000000,9.920100,,,,9.972561,9.938832,0.033730,,,59.171268,9.920100,10.101471,9.738729,0.720266,0.090323,0.009032,-0.000999,0.000500,0.017294,,,,0.062749,-0.000999,,,501125.000000,1591000.000000,
2021-06-24,9.990000,10.030000,9.950000,9.965000,64600,0.000000,0.000000,9.990000,10.030000,9.950000,9.965000,9.929350,,,,9.971393,9.940936,0.030457,,,53.153442,9.929350,10.099137,9.759563,0.604985,0.089516,0.008983,-0.003500,-0.004496,0.013733,,,,0.064476,-0.004496,,,503350.000000,643739.000000,
2021-06-25,9.950000,9.970000,9.910000,9.930000,70900,0.000000,0.000000,9.950000,9.970000,9.910000,9.930000,9.936000,,,,9.965003,9.940062,0.024941,0.030826,-0.005885,47.906483,9.936000,10.093967,9.778033,0.481009,0.087223,0.008784,-0.003512,-0.007992,0.015337,,,,0.062921,-0.007992,,,504860.000000,704037.000000,
2021-06-28,9.930000,9.950000,9.886000,9.920000,43500,0.000000,0.000000,9.930000,9.950000,9.886000,9.920000,9.942500,,,,9.958060,9.938468,0.019592,0.028309,-0.008718,46.494295,9.942500,10.085126,9.799874,0.421122,0.085430,0.008612,-0.001007,-0.005015,0.012555,,,,0.063087,-0.008991,,,506445.000000,431520.000000,
2021-06-29,9.890000,9.938000,9.851000,9.890000,80600,0.000000,0.000000,9.890000,9.938000,9.851000,9.890000,9.947500,,,,9.947563,9.934638,0.012925,0.024943,-0.012018,42.451367,9.947500,10.073679,9.821321,0.272148,0.085551,0.008650,-0.003024,-0.011988,0.010215,,,,0.064191,-0.011988,,,509350.000000,797134.000000,
2021-06-30,9.890000,9.950000,9.850000,9.890000,54700,0.000000,0.000000,9.890000,9.950000,9.850000,9.890000,9.951500,,,,9.938689,9.931128,0.007561,0.021210,-0.013649,42.451367,9.951500,10.063614,9.839386,0.225725,0.086654,0.008762,0.000000,-0.011000,0.010215,,,,0.064191,-0.011988,,,443915.000000,540983.000000,
